time, galvanic skin response,
157405, 55,
157495, 54,
157585, 54,
157673, 54,
157763, 53,
157853, 55,
157943, 54,
158031, 54,
158121, 53,
158212, 54,
158302, 55,
158390, 55,
158480, 54,
158570, 55,
158660, 53,
158748, 54,
158838, 53,
158928, 53,
159019, 54,
159107, 54,
159197, 53,
159287, 53,
159377, 54,
159465, 55,
159555, 53,
159645, 54,
159735, 53,
159825, 54,
159913, 54,
160004, 54,
160094, 53,
160184, 54,
160272, 54,
160362, 54,
160452, 54,
160542, 53,
160630, 54,
160720, 54,
160811, 53,
160901, 55,
160989, 54,
161079, 54,
161169, 54,
161259, 54,
161347, 54,
161437, 54,
161527, 53,
161617, 54,
161705, 54,
161796, 54,
161886, 53,
161976, 54,
162064, 54,
162154, 54,
162244, 55,
162334, 54,
162422, 53,
162512, 54,
162603, 54,
162693, 54,
162781, 54,
162871, 54,
162961, 53,
163051, 53,
163139, 54,
163229, 54,
163319, 55,
163409, 54,
163500, 54,
163588, 54,
163678, 48,
163768, 54,
163858, 53,
163946, 55,
164036, 54,
164126, 54,
164216, 54,
164304, 54,
164395, 55,
164485, 54,
164575, 54,
164663, 54,
164753, 53,
164843, 54,
164933, 54,
165021, 55,
165111, 53,
165201, 54,
165292, 55,
165380, 55,
165470, 54,
165560, 54,
165650, 54,
165738, 54,
165828, 54,
165918, 55,
166008, 54,
166096, 54,
166187, 55,
166277, 54,
166367, 54,
166457, 54,
166545, 54,
166635, 54,
166725, 55,
166815, 54,
166903, 55,
166993, 54,
167084, 54,
167174, 54,
167262, 53,
167352, 55,
167442, 55,
167532, 54,
167620, 53,
167710, 54,
167800, 54,
167890, 54,
167979, 53,
168069, 54,
168159, 54,
168249, 54,
168337, 53,
168427, 54,
168517, 54,
168607, 54,
168695, 54,
168785, 54,
168876, 53,
168966, 54,
169054, 54,
169144, 54,
169234, 54,
169324, 54,
169412, 53,
169502, 54,
169592, 53,
169682, 54,
169771, 54,
169861, 53,
169951, 54,
170041, 53,
170129, 52,
170219, 53,
170309, 55,
170399, 54,
170487, 53,
170577, 54,
170668, 53,
170758, 53,
170848, 52,
170936, 53,
171026, 52,
171116, 53,
171206, 53,
171294, 53,
171384, 53,
171474, 53,
171565, 54,
171653, 53,
171743, 52,
171833, 54,
171923, 53,
172011, 53,
172101, 52,
172191, 54,
172281, 53,
172369, 54,
172460, 52,
172550, 53,
172640, 52,
172728, 53,
172818, 53,
172908, 52,
172998, 53,
173086, 53,
173176, 53,
173266, 53,
173357, 54,
173445, 54,
173535, 52,
173625, 53,
173715, 52,
173803, 54,
173893, 52,
173983, 53,
174073, 52,
174161, 53,
174252, 52,
174342, 53,
174432, 54,
174522, 54,
174610, 53,
174700, 53,
174790, 54,
174880, 54,
174968, 55,
175058, 55,
175149, 55,
175239, 55,
175327, 54,
175417, 54,
175507, 54,
175597, 55,
175685, 54,
175775, 55,
175865, 54,
175955, 55,
176044, 54,
176134, 55,
176224, 48,
176314, 55,
176402, 55,
176492, 55,
176582, 53,
176672, 55,
176760, 55,
176850, 55,
176941, 55,
177031, 55,
177119, 53,
177209, 55,
177299, 55,
177389, 55,
177477, 53,
177567, 55,
177657, 54,
177747, 56,
177838, 54,
177926, 56,
178016, 55,
